CCTV-Live,#genre#
CCTV-4k,http://6949f5.netsite.cc/proxy/968404657/968404657.m3u8
CCTV-1,http://6949f5.netsite.cc/proxy/1964731068/1964731068.m3u8
CCTV-2,http://6949f5.netsite.cc/proxy/1486446687/1486446687.m3u8
CCTV-3,http://6949f5.netsite.cc/proxy/781829366/781829366.m3u8
CCTV-4,http://6949f5.netsite.cc/proxy/488588922/488588922.m3u8
CCTV-5,http://6949f5.netsite.cc/proxy/1233541493/1233541493.m3u8
CCTV-5+,http://6949f5.netsite.cc/proxy/1327890911/1327890911.m3u8
CCTV-6,http://6949f5.netsite.cc/proxy/1275265590/1275265590.m3u8
1905-电影网,http://6949f5.netsite.cc/proxy/1747360543/1747360543.m3u8
CCTV-7,http://6949f5.netsite.cc/proxy/220822188/220822188.m3u8
CCTV-8,http://6949f5.netsite.cc/proxy/366510833/366510833.m3u8
CCTV-9,http://6949f5.netsite.cc/proxy/1618579230/1618579230.m3u8
CCTV-10,http://6949f5.netsite.cc/proxy/1288910059/1288910059.m3u8
CCTV-11,http://6949f5.netsite.cc/proxy/1263246901/1263246901.m3u8
CCTV-12,http://6949f5.netsite.cc/proxy/479563435/479563435.m3u8
CCTV-13,http://6949f5.netsite.cc/proxy/1100148851/1100148851.m3u8
CCTV-14,http://6949f5.netsite.cc/proxy/329783189/329783189.m3u8
CCTV-15,http://6949f5.netsite.cc/proxy/518544399/518544399.m3u8
CCTV-16,http://6949f5.netsite.cc/proxy/1213181202/1213181202.m3u8
CCTV-17,http://6949f5.netsite.cc/proxy/642661480/642661480.m3u8
咪咕体育,http://6949f5.netsite.cc/proxy/1168525477/1168525477.m3u8
凤凰卫视,http://6949f5.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰卫视,http://6949f5.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰中文,http://6949f5.netsite.cc/proxy/1846789161/1846789161.m3u8
凤凰中文,http://6949f5.netsite.cc/proxy/1846789161/1846789161.m3u8
北京卫视,http://6949f5.netsite.cc/proxy/105545939/105545939.m3u8
江苏卫视,http://6949f5.netsite.cc/proxy/1924965376/1924965376.m3u8
浙江卫视,http://6949f5.netsite.cc/proxy/1076829733/1076829733.m3u8
湖南卫视,http://6949f5.netsite.cc/proxy/1187608335/1187608335.m3u8
湖北卫视,http://6949f5.netsite.cc/proxy/1877417018/1877417018.m3u8
广东卫视,http://6949f5.netsite.cc/proxy/1094148202/1094148202.m3u8
广西卫视,http://6949f5.netsite.cc/proxy/1770922842/1770922842.m3u8
黑龙江卫视,http://6949f5.netsite.cc/proxy/813712546/813712546.m3u8
海南卫视,http://6949f5.netsite.cc/proxy/1868988087/1868988087.m3u8
重庆卫视,http://6949f5.netsite.cc/proxy/2064842136/2064842136.m3u8
深圳卫视,http://6949f5.netsite.cc/proxy/1210483979/1210483979.m3u8
四川卫视,http://6949f5.netsite.cc/proxy/1727775864/1727775864.m3u8
河南卫视,http://6949f5.netsite.cc/proxy/1919483832/1919483832.m3u8
东南卫视,http://6949f5.netsite.cc/proxy/969538215/969538215.m3u8
贵州卫视,http://6949f5.netsite.cc/proxy/1478277200/1478277200.m3u8
江西卫视,http://6949f5.netsite.cc/proxy/1871199348/1871199348.m3u8
辽宁卫视,http://6949f5.netsite.cc/proxy/2131459290/2131459290.m3u8
安徽卫视,http://6949f5.netsite.cc/proxy/1817490980/1817490980.m3u8
河北卫视,http://6949f5.netsite.cc/proxy/1385861493/1385861493.m3u8
山东卫视,http://6949f5.netsite.cc/proxy/1763730718/1763730718.m3u8
新疆卫视,http://6949f5.netsite.cc/proxy/1423426614/1423426614.m3u8
新疆兵团卫视,http://6949f5.netsite.cc/proxy/1502802665/1502802665.m3u8
云南卫视,http://6949f5.netsite.cc/proxy/1057712184/1057712184.m3u8
黑龙江卫视,http://6949f5.netsite.cc/proxy/1993445467/1993445467.m3u8
内蒙古卫视,http://6949f5.netsite.cc/proxy/1149350272/1149350272.m3u8
山西卫视,http://6949f5.netsite.cc/proxy/825435414/825435414.m3u8
甘肃卫视,http://6949f5.netsite.cc/proxy/1209404373/1209404373.m3u8
海南卫视,http://6949f5.netsite.cc/proxy/2019508840/2019508840.m3u8
贵州卫视,http://6949f5.netsite.cc/proxy/344811278/344811278.m3u8
陕西卫视,http://6949f5.netsite.cc/proxy/917851306/917851306.m3u8
宁夏卫视,http://6949f5.netsite.cc/proxy/1558349983/1558349983.m3u8
三沙卫视,http://6949f5.netsite.cc/proxy/1337100319/1337100319.m3u8
青海卫视,http://6949f5.netsite.cc/proxy/1152127449/1152127449.m3u8
吉林卫视,http://6949f5.netsite.cc/proxy/610385362/610385362.m3u8
地方台,#genre#
上海新闻综合,http://6949f5.netsite.cc/proxy/1800137038/1800137038.m3u8
上海外语频道,http://6949f5.netsite.cc/proxy/1701776112/1701776112.m3u8
上海第一财经,http://6949f5.netsite.cc/proxy/1946402424/1946402424.m3u8
上海纪实人文,http://6949f5.netsite.cc/proxy/1975883896/1975883896.m3u8
上海都市频道,http://6949f5.netsite.cc/proxy/2116818558/2116818558.m3u8
上海点掌财经,http://6949f5.netsite.cc/proxy/1577752441/1577752441.m3u8
浙江卫视,http://6949f5.netsite.cc/proxy/1076829733/1076829733.m3u8
浙江钱江生活,http://6949f5.netsite.cc/proxy/1237073829/1237073829.m3u8
浙江经济生活,http://6949f5.netsite.cc/proxy/1957918007/1957918007.m3u8
浙江民生休闲,http://6949f5.netsite.cc/proxy/184155918/184155918.m3u8
浙江教育科技频道,http://6949f5.netsite.cc/proxy/1253636999/1253636999.m3u8
浙江新闻,http://6949f5.netsite.cc/proxy/249206805/249206805.m3u8
浙江教科影视,http://6949f5.netsite.cc/proxy/63422608/63422608.m3u8
浙江少儿频道,http://6949f5.netsite.cc/proxy/761839305/761839305.m3u8
浙江国际,http://6949f5.netsite.cc/proxy/480758982/480758982.m3u8
浙江好易购,http://6949f5.netsite.cc/proxy/2047524408/2047524408.m3u8
浙江之江记录,http://6949f5.netsite.cc/proxy/147568391/147568391.m3u8
维吾尔语新闻综合频道,http://6949f5.netsite.cc/proxy/1972456959/1972456959.m3u8
哈萨克语新闻综合频道,http://6949f5.netsite.cc/proxy/1017241472/1017241472.m3u8
汉语综艺频道,http://6949f5.netsite.cc/proxy/261541641/261541641.m3u8
维吾尔语影视频道,http://6949f5.netsite.cc/proxy/132921121/132921121.m3u8
汉语经济生活频道,http://6949f5.netsite.cc/proxy/43123930/43123930.m3u8
哈萨克语综艺频道,http://6949f5.netsite.cc/proxy/1914541671/1914541671.m3u8
维吾尔语经济生活频道,http://6949f5.netsite.cc/proxy/657274245/657274245.m3u8
汉语体育健康频道,http://6949f5.netsite.cc/proxy/161007620/161007620.m3u8
汉语信息服务频道,http://6949f5.netsite.cc/proxy/741753645/741753645.m3u8
新疆少儿频道,http://6949f5.netsite.cc/proxy/2128293013/2128293013.m3u8
内蒙古卫视,http://6949f5.netsite.cc/proxy/1149350272/1149350272.m3u8
内蒙古新闻综合,http://6949f5.netsite.cc/proxy/862381212/862381212.m3u8
内蒙古经济生活,http://6949f5.netsite.cc/proxy/1043888416/1043888416.m3u8
内蒙古少儿频道,http://6949f5.netsite.cc/proxy/772314677/772314677.m3u8
内蒙古文化娱乐,http://6949f5.netsite.cc/proxy/844409203/844409203.m3u8
内蒙古农牧频道,http://6949f5.netsite.cc/proxy/700721138/700721138.m3u8
内蒙古蒙古语文化,http://6949f5.netsite.cc/proxy/818789140/818789140.m3u8
贵州卫视,http://6949f5.netsite.cc/proxy/1494390345/1494390345.m3u8
贵州公共频道,http://6949f5.netsite.cc/proxy/730375068/730375068.m3u8
贵州影视文艺,http://6949f5.netsite.cc/proxy/277498502/277498502.m3u8
贵州大众生活,http://6949f5.netsite.cc/proxy/1102719883/1102719883.m3u8
贵州生态乡村,http://6949f5.netsite.cc/proxy/2087588014/2087588014.m3u8
贵州科教健康,http://6949f5.netsite.cc/proxy/1162947109/1162947109.m3u8
贵州移动电视频道,http://6949f5.netsite.cc/proxy/1401142653/1401142653.m3u8
重庆卫视,http://6949f5.netsite.cc/proxy/1555601247/1555601247.m3u8
重庆新闻,http://6949f5.netsite.cc/proxy/1555453135/1555453135.m3u8
陕西卫视,http://6949f5.netsite.cc/proxy/917851306/917851306.m3u8
陕西农林,http://6949f5.netsite.cc/proxy/1359389546/1359389546.m3u8
陕西新闻资讯,http://6949f5.netsite.cc/proxy/1595881474/1595881474.m3u8
陕西都市青春,http://6949f5.netsite.cc/proxy/391844543/391844543.m3u8
陕西生活频道,http://6949f5.netsite.cc/proxy/286895848/286895848.m3u8
陕西公共频道,http://6949f5.netsite.cc/proxy/1782806707/1782806707.m3u8
陕西购物,http://6949f5.netsite.cc/proxy/1183146985/1183146985.m3u8
陕西体育休闲,http://6949f5.netsite.cc/proxy/742107634/742107634.m3u8
福建综合频道,http://6949f5.netsite.cc/proxy/269896449/269896449.m3u8
福建东南卫视,http://6949f5.netsite.cc/proxy/1989099435/1989099435.m3u8
福建公共频道,http://6949f5.netsite.cc/proxy/639164858/639164858.m3u8
福建新闻频道,http://6949f5.netsite.cc/proxy/199601741/199601741.m3u8
福建电视剧,http://6949f5.netsite.cc/proxy/1180178372/1180178372.m3u8
福建旅游频道,http://6949f5.netsite.cc/proxy/1739179131/1739179131.m3u8
福建经视频道,http://6949f5.netsite.cc/proxy/561753807/561753807.m3u8
福建体育频道,http://6949f5.netsite.cc/proxy/1771344389/1771344389.m3u8
福建少儿频道,http://6949f5.netsite.cc/proxy/253585251/253585251.m3u8
福建海峡卫视,http://6949f5.netsite.cc/proxy/1400186150/1400186150.m3u8
吉林卫视高清,http://6949f5.netsite.cc/proxy/1831443675/1831443675.m3u8
吉林综艺文化,http://6949f5.netsite.cc/proxy/496824256/496824256.m3u8
吉林乡村频道,http://6949f5.netsite.cc/proxy/1927078122/1927078122.m3u8
吉林生活频道,http://6949f5.netsite.cc/proxy/448992852/448992852.m3u8
吉林影视频道,http://6949f5.netsite.cc/proxy/1484332533/1484332533.m3u8
吉林戏曲频道,http://6949f5.netsite.cc/proxy/2063310884/2063310884.m3u8
吉林都市频道,http://6949f5.netsite.cc/proxy/644013828/644013828.m3u8
吉林家有购物频道,http://6949f5.netsite.cc/proxy/1593753300/1593753300.m3u8
吉林新闻综合,http://6949f5.netsite.cc/proxy/1455835602/1455835602.m3u8
吉林白城新闻综合,http://6949f5.netsite.cc/proxy/1773515618/1773515618.m3u8
吉林松原电视台,http://6949f5.netsite.cc/proxy/899644185/899644185.m3u8
吉林四平电视台,http://6949f5.netsite.cc/proxy/2096784785/2096784785.m3u8
吉林辽源电视台,http://6949f5.netsite.cc/proxy/1873892625/1873892625.m3u8
吉林白山电视台,http://6949f5.netsite.cc/proxy/583838447/583838447.m3u8
吉林通化电视台,http://6949f5.netsite.cc/proxy/254744731/254744731.m3u8
吉林延边卫视,http://6949f5.netsite.cc/proxy/454807708/454807708.m3u8
吉林延边汉语综合,http://6949f5.netsite.cc/proxy/461796199/461796199.m3u8
吉林延边朝鲜语综合,http://6949f5.netsite.cc/proxy/127471106/127471106.m3u8
河北卫视,http://6949f5.netsite.cc/proxy/1385861493/1385861493.m3u8
河北经济生活,http://6949f5.netsite.cc/proxy/839342764/839342764.m3u8
河北农民频道,http://6949f5.netsite.cc/proxy/1382120425/1382120425.m3u8
河北都市,http://6949f5.netsite.cc/proxy/1382613512/1382613512.m3u8
河北影视剧,http://6949f5.netsite.cc/proxy/105462334/105462334.m3u8
河北少儿科教,http://6949f5.netsite.cc/proxy/177438581/177438581.m3u8
河北公共,http://6949f5.netsite.cc/proxy/1380350629/1380350629.m3u8
河北三佳购物,http://6949f5.netsite.cc/proxy/1490274429/1490274429.m3u8
甘肃卫视,http://6949f5.netsite.cc/proxy/1209404373/1209404373.m3u8
甘肃经济频道,http://6949f5.netsite.cc/proxy/1373372389/1373372389.m3u8
甘肃文化影视,http://6949f5.netsite.cc/proxy/1573084994/1573084994.m3u8
甘肃公共应急,http://6949f5.netsite.cc/proxy/1726841360/1726841360.m3u8
甘肃少儿频道,http://6949f5.netsite.cc/proxy/1645236406/1645236406.m3u8
甘肃都市频道,http://6949f5.netsite.cc/proxy/1238488351/1238488351.m3u8
河南都市频道,http://6949f5.netsite.cc/proxy/1492902938/1492902938.m3u8
河南民生频道,http://6949f5.netsite.cc/proxy/1346087362/1346087362.m3u8
河南法制频道,http://6949f5.netsite.cc/proxy/1472420660/1472420660.m3u8
河南电视剧频道,http://6949f5.netsite.cc/proxy/493614280/493614280.m3u8
河南新闻频道,http://6949f5.netsite.cc/proxy/1692770748/1692770748.m3u8
河南欢腾购物频道,http://6949f5.netsite.cc/proxy/933026680/933026680.m3u8
河南公共频道,http://6949f5.netsite.cc/proxy/1779518772/1779518772.m3u8
河南乡村频道,http://6949f5.netsite.cc/proxy/1890775902/1890775902.m3u8
河南武术世界,http://6949f5.netsite.cc/proxy/503866921/503866921.m3u8
河南国际频道,http://6949f5.netsite.cc/proxy/114531055/114531055.m3u8
河南晴彩中原频道,http://6949f5.netsite.cc/proxy/437233355/437233355.m3u8
河南梨园频道,http://6949f5.netsite.cc/proxy/1836590379/1836590379.m3u8
河南移动戏曲频道,http://6949f5.netsite.cc/proxy/606632094/606632094.m3u8
河南文物宝库频道,http://6949f5.netsite.cc/proxy/908742171/908742171.m3u8
河南洛阳新闻综合频道,http://6949f5.netsite.cc/proxy/95478034/95478034.m3u8
快乐购,http://6949f5.netsite.cc/proxy/970312636/970312636.m3u8
湖南经视,http://6949f5.netsite.cc/proxy/1075467511/1075467511.m3u8
湖南娱乐,http://6949f5.netsite.cc/proxy/884645401/884645401.m3u8
湖南都市,http://6949f5.netsite.cc/proxy/1116439121/1116439121.m3u8
电视剧,http://6949f5.netsite.cc/proxy/649200103/649200103.m3u8
金鹰纪实,http://6949f5.netsite.cc/proxy/46690299/46690299.m3u8
湖南爱晚,http://6949f5.netsite.cc/proxy/1916495164/1916495164.m3u8
金鹰卡通,http://6949f5.netsite.cc/proxy/1947104640/1947104640.m3u8
国际频道,http://6949f5.netsite.cc/proxy/1627651873/1627651873.m3u8
茶频道,http://6949f5.netsite.cc/proxy/1322311734/1322311734.m3u8
快乐垂钓,http://6949f5.netsite.cc/proxy/316113716/316113716.m3u8
先锋乒羽,http://6949f5.netsite.cc/proxy/1789306185/1789306185.m3u8
